Title: 2020 Popular Vote Tracker | The Cook Political Report

URL Source: https://www.cookpolitical.com/vote-tracker/2020/electoral-college

Published Time: Wed, 15 Oct 2025 11:16:12 GMT

Markdown Content:
2020 Popular Vote Tracker

| State | Certified? | Biden Votes | Trump Votes | Other Votes | Biden Share | Trump Share | Other Share | Dem '20 Margin | Margin Shift vs. '16 | Raw Votes vs. '16 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| U.S. Total | Yes | 81,282,916 | 74,223,369 | 2,891,441 | 51.3% | 46.9% | 1.8% | 4.5% | 2.4% | +15.9% |
| 15 Key Battlegrounds |  | 31,908,248 | 33,002,287 | 950,354 | 48.4% | 50.1% | 1.4% | -1.7% | 2% | 17.2% |
| Non-Battlegrounds |  | 49,374,668 | 41,221,082 | 1,941,087 | 53.4% | 44.5% | 2.1% | 8.8% | 2.7% | 15.1% |
| 15 Key Battlegrounds |  |  |  |  |  |  |  |  |  |  |
| Arizona | Yes | 1,672,143 | 1,661,686 | 53,497 | 49.4% | 49.1% | 1.6% | 0.3% | 3.9% | 31.6% |
| Florida | Yes | 5,297,045 | 5,668,731 | 101,680 | 47.9% | 51.2% | 0.9% | -3.4% | -2.2% | 17.5% |
| Georgia | Yes | 2,473,633 | 2,461,854 | 62,229 | 49.5% | 49.3% | 1.2% | 0.2% | 5.4% | 22.1% |
| Iowa | Yes | 759,061 | 897,672 | 34,138 | 44.9% | 53.1% | 2.0% | -8.2% | 1.2% | 8% |
| Maine 2nd District | Yes | 168,696 | 196,692 | 10,961 | 44.8% | 52.3% | 2.9% | -7.4% | 2.8% | 6.5% |
| Michigan | Yes | 2,804,040 | 2,649,852 | 85,410 | 50.6% | 47.8% | 1.5% | 2.8% | 3% | 15.4% |
| Minnesota | Yes | 1,717,077 | 1,484,065 | 76,029 | 52.4% | 45.3% | 2.3% | 7.1% | 5.6% | 11.3% |
| Nebraska 2nd District | Yes | 176,468 | 154,377 | 6,909 | 52.2% | 45.7% | 2.0% | 6.5% | 8.8% | 15.8% |
| Nevada | Yes | 703,486 | 669,890 | 32,000 | 50.1% | 47.7% | 2.3% | 2.4% | 0% | 24.9% |
| New Hampshire | Yes | 424,921 | 365,654 | 15,607 | 52.7% | 45.4% | 1.9% | 7.4% | 7% | 8.3% |
| North Carolina | Yes | 2,684,292 | 2,758,775 | 81,737 | 48.6% | 49.9% | 1.5% | -1.3% | 2.3% | 16.5% |
| Ohio | Yes | 2,679,165 | 3,154,834 | 88,203 | 45.2% | 53.3% | 1.5% | -8% | 0.1% | 7.7% |
| Pennsylvania | Yes | 3,458,229 | 3,377,674 | 79,380 | 50.0% | 48.8% | 1.1% | 1.2% | 1.9% | 13.1% |
| Texas | Yes | 5,259,126 | 5,890,347 | 165,583 | 46.5% | 52.1% | 1.5% | -5.6% | 3.4% | 26.2% |
| Wisconsin | Yes | 1,630,866 | 1,610,184 | 56,991 | 49.4% | 48.8% | 1.7% | 0.6% | 1.4% | 10.8% |
| Non-Battlegrounds |  |  |  |  |  |  |  |  |  |  |
| Alabama | Yes | 849,624 | 1,441,170 | 32,488 | 36.6% | 62.0% | 1.4% | -25.5% | 2.3% | 9.4% |
| Alaska | Yes | 153,778 | 189,951 | 15,801 | 42.8% | 52.8% | 4.4% | -10.1% | 4.7% | 12.8% |
| Arkansas | Yes | 423,932 | 760,647 | 34,490 | 34.8% | 62.4% | 2.8% | -27.6% | -0.7% | 7.8% |
| California | Yes | 11,110,250 | 6,006,429 | 384,192 | 63.5% | 34.3% | 2.2% | 29.2% | -0.9% | 23.4% |
| Colorado | Yes | 1,804,352 | 1,364,607 | 87,993 | 55.4% | 41.9% | 2.7% | 13.5% | 8.6% | 17.1% |
| Connecticut | Yes | 1,080,831 | 714,717 | 28,309 | 59.3% | 39.2% | 1.6% | 20.1% | 6.4% | 10.9% |
| Delaware | Yes | 296,268 | 200,603 | 7,475 | 58.7% | 39.8% | 1.5% | 19% | 7.6% | 14.2% |
| District of Columbia | Yes | 317,323 | 18,586 | 8,447 | 92.1% | 5.4% | 2.5% | 86.8% | 0% | 10.6% |
| Hawaii | Yes | 366,130 | 196,864 | 11,475 | 63.7% | 34.3% | 2.0% | 29.5% | -2.7% | 33.9% |
| Idaho | Yes | 287,021 | 554,119 | 26,091 | 33.1% | 63.9% | 3.0% | -30.8% | 1% | 25.6% |
| Illinois | Yes | 3,471,915 | 2,446,891 | 114,938 | 57.5% | 40.6% | 1.9% | 17% | -0.1% | 9% |
| Indiana | Yes | 1,242,413 | 1,729,516 | 61,183 | 41.0% | 57.0% | 2.0% | -16.1% | 3.1% | 10.9% |
| Kansas | Yes | 570,323 | 771,406 | 30,574 | 41.6% | 56.2% | 2.2% | -14.7% | 5.9% | 15.9% |
| Kentucky | Yes | 772,474 | 1,326,646 | 37,648 | 36.2% | 62.1% | 1.8% | -25.9% | 3.9% | 11.1% |
| Louisiana | Yes | 856,034 | 1,255,776 | 36,252 | 39.9% | 58.5% | 1.7% | -18.6% | 1% | 5.9% |
| Maine | Yes | 435,072 | 360,737 | 23,652 | 53.1% | 44.0% | 2.9% | 9.1% | 6.1% | 9.6% |
| Maine 1st District | Yes | 266,376 | 164,045 | 12,691 | 60.1% | 37.0% | 2.9% | 23.1% | 8.3% | 12.4% |
| Maryland | Yes | 1,985,023 | 976,414 | 75,593 | 65.4% | 32.2% | 2.5% | 33.2% | 6.8% | 9.2% |
| Massachusetts | Yes | 2,382,202 | 1,167,202 | 81,998 | 65.6% | 32.1% | 2.3% | 33.5% | 6.3% | 9.2% |
| Mississippi | Yes | 539,508 | 756,789 | 17,597 | 41.1% | 57.6% | 1.3% | -16.5% | 1.3% | 8.6% |
| Missouri | Yes | 1,253,014 | 1,718,736 | 54,212 | 41.4% | 56.8% | 1.8% | -15.4% | 3.2% | 7.7% |
| Montana | Yes | 244,786 | 343,602 | 15,286 | 40.5% | 56.9% | 2.5% | -16.4% | 4.1% | 21.4% |
| Nebraska | Yes | 374,583 | 556,846 | 20,283 | 39.4% | 58.5% | 2.1% | -19.2% | 5.9% | 12.7% |
| Nebraska 1st District | Yes | 132,261 | 180,290 | 7,495 | 41.3% | 56.3% | 2.3% | -15% | 5.7% | 13.4% |
| Nebraska 3rd District | Yes | 65,854 | 222,179 | 5,879 | 22.4% | 75.6% | 2.0% | -53.2% | 1% | 8.8% |
