Title: 19th Asian Games | Results  | World Athletics

URL Source: https://worldathletics.org/competition/calendar-results/results/7147637

Markdown Content:
Men's 100 Metres
----------------

**Round 1 - Heat 1**, Wind: -0.2

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Soraoat DAPBANG | 18 NOV 2002 | THA | 10.26 |
| 2. | Yoshihide KIRYU | 15 DEC 1995 | JPN | 10.27 |
| 3. | Kum Ryong JO | 31 MAY 1999 | PRK | 10.28 |
| 4. | Chun-Han YANG | 01 JAN 1997 | TPE | 10.31 |
| 5. | Nasser Mahmoud MOHAMMED | 25 MAR 2002 | KSA | 10.50 |
| 6. | Shajar ABBAS | 19 MAY 2000 | PAK | 10.59 |
| 7. | Favoris MUZRAPOV | 15 NOV 1998 | TJK | 10.67 |
| 8. | Sha Mahmood NOOR ZAHI | 21 MAR 1991 | AFG | 10.85 |
| 9. | Jantsandorj GANBOLD | 12 MAR 1992 | MGL | 11.81 |

**Round 1 - Heat 2**, Wind: -0.2

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Yuki KOIKE | 13 MAY 1995 | JPN | 10.27 |
| 2. | Guanfeng CHEN | 05 FEB 2000 | CHN | 10.36 |
| 3. | Yu-Sian LIN | 03 JUN 2001 | TPE | 10.43 |
| 4. | Gohar SHAHBAZ | 01 JUL 1997 | PAK | 10.56 |
| 5. | Lee HONG KIT | 27 APR 1997 | HKG | 10.59 |
| 6. | Noureddine HADID | 28 JAN 1993 | LBN | 10.64 |
| 7. | Sorsy PHOMPAKDI | 07 DEC 2001 | LAO | 10.74 |
| 8. | Bu Cheng HOU | 27 APR 2005 | MAC | 10.94 |

**Round 1 - Heat 3**, Wind: 0.0

| Place | Name | Birth Date |  | Mark |
| --- | --- | --- | --- | --- |
| 1. | Muhd Azeem FAHMI | 29 APR 2004 | MAS | 10.28 |
| 2. | Hassan TAFTIAN | 04 MAY 1993 | IRI | 10.42 |
| 3. | Ali AL BALUSHI | 09 FEB 2002 | OMA | 10.47 |
| 4. | Jaeseong LEE | 18 JUN 2001 | KOR | 10.50 |
