Title: Decisions

URL Source: https://www.asbca.mil/Decisions/

Markdown Content:
| Decision Date | ASBCA Number | Appellant/Petitioner | Judge |
| --- | --- | --- | --- |
| September |  |  |  |
| September 26, 2025 | 63738-ADR | Sauer Construction, LLC | Sweet |
| September 24, 2025 | 62244, 62869 | Vose Technical Systems, Inc. | Thrasher |
| September 24, 2025 | 64177 | Constellation NewEnergy, Inc. | Thrasher |
| September 23, 2025 | 63974 | Mayflower Communications Company, Inc. | Thrasher |
| September 22, 2025 | 64200 | Industrial Fabrication Resources, Inc. | Thrasher |
| September 22, 2025 | 64224 | HDT Expeditionary Systems, Inc. | Thrasher |
| September 19, 2025 | 64173 | Paragon Defense Solutions, Inc. | Eyester |
| September 18, 2025 | 64317 | General Electric Company | Wilson |
| September 16, 2025 | 64228 | Aspen Construction Company | Wilson |
| September 15, 2025 | 63837 | Direct Steel, LLC | McLish |
| September 11, 2025 | 64053 | King Rox, LLC | Hamady |
| September 10, 2025 | 61612 | Scot Cardillo dba Engineers Tooling Support | McIlmail |
| September 4, 2025 | 63413 | Deloitte Consulting LLP, Deloitte & Touche LLP, and Deloitte Financial Advisory Services LLP | Melnick |
| September 4, 2025 | 63217 | HECO Pacific Manufacturing, Inc. | Melnick |
| September 4, 2025 | 63006 | West Point Utilities, LLC | Woodrow |
| September 4, 2025 | 64168 | Paragon Defense Solutions, Inc. | Eyester |
| September 3, 2025 | 63862 | Chugach Technical Solutions, LLC. | D'Alessandris |
| September 2, 2025 | 63710-ADR | NES Pacific Limited Liability Co. | Arnett |
| September 2, 2025 | 59986, 61092, 61693, 61996 | Advanced Technologies Group, Inc. | Prouty |
| September 2, 2025 | 62018 | Navmar Applied Sciences Corporation | D'Alessandris |
| August |  |  |  |
| August 27, 2025 | 64017 | Xerox Corporation | Thrasher |
| August 26, 2025 | 64123 | Planetary Science Institute | Witwer |
| August 25, 2025 | 64098, 64130 | ICM S.P.A. | Gates-Lewis |
| August 25, 2025 | 64172 | Rice Services, Inc. | Thrasher |
| August 22, 2025 | 64101 | Raytheon Company | Thrasher |
| August 21, 2025 | 63356-ADR, 64014-ADR | Nova Group Inc. | McIlmail |
| August 20, 2025 | 64048 | Alsalam Aerospace Industries Company | Wilson |
| August 20, 2025 | 62075, 62780 | D-STAR Engineering Corp. | Herzfeld |
| August 19, 2025 | 63763 | JSR ECC LLC | Wilson |
| August 19, 2025 | 63993, 63994, 63995 | A. West Enterprise, LLC | Woodrow |
| August 19, 2025 | 64324 | Potomac Electric Power Company | Wilson |
| August 18, 2025 | 64232 | BreakPoint Labs, LLC | Wilson |
| August 18, 2025 | 63695 | H&L Contracting LLC | McLish |
| August 15, 2025 | 63582, 63980 | Arcadis U.S., Inc. | Sweet |
| August 14, 2025 | 64298 | Intercontinental Construction Contracting, Inc. | Thrasher |
| August 14, 2025 | 63834, 63835 | Caddell-Nan, a Joint Venture | Thrasher |
| August 13, 2025 | 62295 | Sauer Incorporated | Woodrow |
| August 13, 2025 | 63587 | Samho Enterprise | Woodrow |
| August 13, 2025 | 63278 | Fidelity & Deposit Company of Maryland | Taylor |
| August 13, 2025 | 63685, 63719, 63720, 63721, 63734 | Thalle Construction Company | Sweet |
| August 12, 2025 | 62165, 62621 | Northrop Grumman Corporation | Stinson |
