Title: List of accidents and disasters by death toll

URL Source: https://en.wikipedia.org/wiki/List_of_accidents_and_disasters_by_death_toll

Published Time: 2007-09-01T08:52:56Z

Markdown Content:
From Wikipedia, the free encyclopedia

This is a dynamic list and may never be able to satisfy particular standards for completeness. You can help by editing the page to add missing items, with references to reliable sources.

This is a **list of accidents and disasters by death toll**. It shows the number of fatalities associated with various explosions, structural fires, flood disasters, coal mine disasters, and other notable accidents caused by negligence connected to improper architecture, planning, construction, design, and more. Purposeful disasters, such as military or terrorist attacks, are omitted.

While all of the listed accidents caused immediately massive numbers of lives lost, further widespread deaths were connected to many of these incidents, often the result of prolonged or lingering effects of the initial catastrophe. This was the case particularly in such cases as exposure to contaminated air, toxic chemicals or radiation, some years later due to lung damage, cancer, etc. Some numbers in the table below reflect both immediate and delayed deaths related to accidents, while many do not.

Accidents with at least 200 deaths. This list does not include bombings, aviation incidents, or mining disasters.

| Deaths | Date | Incident |
| --- | --- | --- |
| 20,000 | 30 May 1626 | Wanggongchang Explosion in Beijing, China, in the Wanggongchang Gunpowder Factory, destroyed part of the city and killed 20,000 people[1] |
| 4,000 | 7 August 1956 | Ammunition trucks exploded near a railway station in Cali, Colombia[2] |
| 3,000–4,000 | 3 December 1948 | Sinking of SS Kiangya in the Huangpu River near Shanghai, China, due to unidentified explosion (possibly a mine)[3][4] |
| 400-6,000[5] | 18 August 1769 | A lightning bolt caused the explosion of a gunpowder depot in Brescia, Italy, destroying one-sixth of the city[6][7] No exact details on how many people died are available, but a rough estimate is around 3,000. |
| 1,400–2,280 | 6 March 1862 | An ammunition warehouse in San Andrés Chalchicomula, Mexico, exploded and killed almost all of Oaxaca brigade during the first days of the Second French intervention in Mexico[8] |
| 1,950 | 6 December 1917 | Halifax Explosion in Nova Scotia, Canada[9] |
| 1,500 | 5 June 1941 | Smederevo Fortress explosion of stockpiled ammunition at Smederevo Fortress near Belgrade in the Territory of the Military Commander in Serbia[10] |
| 256–1,500+ | 16 September 1732 | A military warehouse exploded, killing up to two-thirds of the population of Campo Maior district of Portalegre, Portugal[11][12] |
| 1,200 | 16 October 1926 | Explosion of ammunition on the Chinese troopship _Kuang Yuang_, near Kiukiang, China[13] |
| 1,121 | 8 June 1943 | Japanese battleship _Mutsu_, at Hashirajima harbor, 1943, due to magazine explosion; ship sank on 9 June |
| 1,100 | 27 January 2002 | Lagos Armoury Explosion, in Lagos, Nigeria; many deaths were from drowning during the resulting panic |
| 1,082 | 18 October 1998 | Jesse pipeline explosion, near Lagos, Nigeria |
| 1,007 | 18 November 1918 | Ammunition transporter explosion in Hamont, Belgium |
| 1,000+ | 31 August 1794 | Explosion of a gunpowder factory in Grenelle, France |
| 843 | 9 July 1917 | Propellant explosion of the British dreadnought battleship HMS _Vanguard_ |
| 800 | 14 April 1944 | Bombay Docks Explosion in Bombay, Bombay Presidency, British India |
| 741 | 26 November 1914 | British pre-dreadnought battleship HMS _Bulwark_ destroyed due to a magazine explosion |
| 700 | 17 August 1989 | Iraqi military plant exploded at Al Hillah, Babil, Iraq |
| 621 | 27 February 1925 | Explosion of a dynamite depot in Brazil.[14] |
| 600+ | 28 March 1943 | Explosion of the _Caterina Costa_, at port of Naples; over 3000 were also injured |
| 590 | 3 November 1893 | Explosion of dynamite cargo on the steamship _Cabo Machichaco_, in at the port of Santander, Spain, with more than 2,000 injured.[15] |
| 581 | 16 April 1947 | Texas City disaster in the Port of Texas City, Texas, USA; over 5,000 were also injured. |
| 575 | 4 June 1989 | Ufa train disaster in Ufa, Soviet Union. |
| 565 | 21 September 1921 | Oppau explosion at a BASF plant in Germany; possibly as many as 1,500 were killed |
| 542 | 9 April 1945 | SS _Charles Henderson_ ammunition explosion at Bari, Italy; 1,800 injured |
| 508 | 25 February 1984 | A gasoline pipeline exploded in the favela of Vila Sao Jose, Cubatão, Brazil[16][17] |
| 500+ | 19 November 1984 | San Juanico disaster, in Mexico City, Mexico |
| 372 | 10 November 1944 | Ammunition ship USS _Mount Hood_ exploded at Seeadler Harbor, killing 372 and injuring 371 |
| 370+ | 27 July 1816 | Powder magazine in Negro Fort in Spanish Florida exploded during battle with United States forces. |
| 339 | 11 September 1905 | Japanese battleship _Mikasa_ explosion of magazine (artillery) while at port |
| 320 | 17 July 1944 | Port Chicago disaster at Port Chicago, California, United States |
| 300+ | 4 March 2012 | Brazzaville arms dump blasts at Brazzaville, Republic of the Congo |
| 296+ | 18 March 1937 | New London School explosion at New London, Texas, United States |
| 291 | 29 December 2001 | Fireworks stand explosion in Lima, Peru. 235 bodies recovered, 144+ taken to hospital due to burns.[18] |
| 286 | 25 September 1911 | An explosion occurred on the French battleship _Liberté_ |
| 256 | 4 June 2015 | Gas station explosion in Accra, Ghana |
| 150–240 | 18 July 1806 | Gunpowder magazine explosion, Birgu, Malta |
| 234 | 23 December 2003 | PetroChina Chuandongbei natural gas field explosion, Guoqiao, Chongqing, China |
| 230+ | 2 July 2010 | 2010 South Kivu fuel tank explosion in the Democratic Republic of the Congo |
| 228 | 20 October 1916 | Russian battleship _Imperatritsa Mariya_ magazine explosion |
| 220 | 11 December 1944 | Gunpowder explosion on the train doing Japanese military and civilian transportation, Itoman, Okinawa, Japan[19][_better source needed_] |
| 219 | 25 June 2017 | Bahawalpur explosion, an oil truck exploded in Bahawalpur, Pakistan |
| 218 | 4 August 2020 | 2020 Beirut explosion, Beirut, Lebanon |
| 218 | 25 September 2023 | Filling station explosion in Berkadzor, Nagorno-Karabakh[20] |
| 215 | 11 July 1978 | Los Alfaques disaster, in Sant Carles de la Ràpita, Spain |
| 207 | 28 July 1948 | 1948 BASF tank car explosion, Ludwigshafen am Rhein, Germany; 3,818 were also injured[21] |
| 206 | 22 April 1992 | Gas explosions in Guadalajara, Jalisco, Mexico |
| 206 | 17 September 2015 | 2015 tanker explosion in Juba, South Sudan[22] |
| 200+ | 6 June 1991 | Gotera ammunition dump explosion in Addis Ababa, Ethiopia |

Accidents with at least 200 deaths.

| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 3,787–16,000 | 2–3 December 1984 | Bhopal disaster | Union Carbide (now Dow Chemicals) factory, Bhopal, Madhya Pradesh, India |
| 1,549 | 26 April 1942 | Benxihu Colliery explosion | Benxi, Liaoning, Manchukuo (now China) |
| 1,099 | 10 March 1906 | Courrières mine disaster | Courrières, France |
| 687 | 15 December 1914 | Mitsubishi Hōjō coal mine disaster | Kyūshū, Japan |
| 682 | 9 May 1960 | Laobaidong colliery coal dust explosion | Datong, China |
| 581 | 16 April 1947 | Texas City disaster | Texas City, Texas, U.S. |
| 512 | 28 August 1899 | Sumitomo Besshi bronze mine area, landslide with debris flow disaster | Niihama, Shikoku, Japan |
| 500+ | 19 November 1984 | San Juanico Disaster[23] | Mexico City, Mexico |
| 476–1,000 | 1931 | Hawks Nest Tunnel disaster | Gauley Bridge, West Virginia, United States |
| 458 | 9 November 1963 | Mitsui Miike Coal Mine disaster[24] | Mitsui Miike, Ōmuta, Fukuoka, Japan |
| 439 | 14 October 1913 | Senghenydd Colliery Disaster | Senghenydd, Wales |
| 437 | 21 January 1960 | Coalbrook mining disaster | Coalbrook, South Africa |
| 427 | 6 June 1972 | Wankie coal mine disaster | Wankie, Rhodesia/Zimbabwe |
| 422 | 28 November 1914 | Mine explosion caused by Methane gas | New Yubari Yūbari, Hokkaidō, Japan |
| 405 | 20 February 1946 | Bergkamen mining disaster | Bergkamen, West Germany |
| 388 | 12 December 1866 | Oaks Colliery mining disaster | Barnsley, England |
| 375 | 28 May 1965 | Mine explosion caused by Methane gas[25] | Dhanbad Bihar, India |
| 372 | 27 December 1975 | Chasnala mining disaster | Sudamdih Colliery Dhanbad, India |
| 369 | 21 December 1917 [_citation needed_] | Coal mine disaster at Kaijima-kirino mine | Miyata, Fukuoka Japan[26] |
| 365 | 20 July 1907 |  | Hokoku, Itoda, Kyūshū, Japan |
| 362 | 6 December 1907 | Monongah Mining disaster | Monongah, West Virginia, U.S. |
| 344 | 21 December 1910 | Pretoria Pit Disaster | Westhoughton, England |
| 319 | 31 May 1892 | Marie ore mine fire | Příbram, Austria-Hungary (now Czech Republic) |
| 301 | 13 May 2014 | Soma mine disaster | Manisa, Turkey |
| 300+ | 9 May 1993 | Nambija mine disaster, landslide destroying several mines and buildings | Zamora-Chinchipe, Ecuador |
| 299[27] | 7 February 1962 | Luisenthal mine disaster | Saarland, West Germany |
| 290 | 23 June 1894 | Fire and explosion | Albion Colliery, Wales |
| 289 | 11 September 2012 | Karachi factory fire | Karachi, Pakistan |
| 277 | 8 September 2008 | 2008 Shanxi mudslide caused by collapse of a mine landfill[28] | Xiangfen, Linfen, Shanxi, China |
| 270 | 25 January 2019 | Brumadinho dam disaster caused by the collapse of a mining dam | Brumadinho, Minas Gerais, Brazil |
| 268 | 11 September 1878 | Abercarn colliery disaster | Abercarn, Wales |
| 266 | 22 September 1934 | Gresford Disaster | Gresford, Wales |
| 263 | 22 October 1913 | Dawson, New Mexico | U.S. (first disaster) |
| 263 | 3 March 1992 |  | Incirharmani, Kozlu, Zonguldak, Turkey |
| 262 | 8 August 1956 |  | Marcinelle, Belgium |
| 259 | 13 November 1909 | 1909 Cherry Mine disaster | Cherry, Illinois, U.S. |
| 254 | 11 November 1937 | Kogushi sulfur mine collapse | western Gunma, Japan |
| 243 | 5 August 1909 |  | Onoura, Kirino, Kyūshū, Japan |
| 243 | 23 December 2003 | PetroChina Chuandongbei natural gas field explosion[29] | Guoqiao, Kai County, Chongqing, China |
| 239 | 19 December 1907 | Darr Mine Disaster | Jacobs Creek, Pennsylvania, U.S. |
| 236 | 1 June 1965 |  | Chikuho Yamano, Kyūshū, Japan |
| 235 | 14 June 1894 | Larisch's mines (Jan and Františka) | Karviná, Austria-Hungary (now Czech Republic) |
| 220 | 28 March 1965 | El Cobre tailing dam and copper mine failure by earthquake | Chile |
| 216 | 19 May 1902 | Fraterville Mine disaster | Fraterville, Tennessee, U.S. |
| 214 | 15 February 2005 | 2005 Sunjiawan mine disaster | Sunjiawan, Fuxin, Liaoning, China |
| 210 | 15 June 1899 |  | Hokoku, Itoda, Kyūshū, Japan |
| 204 | 16 January 1862 | Hartley Colliery Disaster | New Hartley, Northumberland, England |
| 202 | 25 May 1917 | Bolevec Disaster | Pilsen, Bohemia, now in Czech Republic |
| 200+ | 1 May 1900 | Scofield Mine disaster | Scofield, Utah, U.S. |
| 200+ | 27 February 1908 | Mina Rosita Vieja disaster | San Juan de Sabinas, Coahuila, Mexico |

### Nuclear and radiation

[edit]

Accidents with at least 10 deaths.

| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 200–6,000 | 29 September 1957 | Mayak nuclear waste storage tank explosion. 270,000 people were exposed to dangerous radiation levels.[30] | Chelyabinsk, Soviet Union |
| 100–240 | 10 October 1957 | Windscale fire | Windscale, Seascale, Cumbria (now Sellafield), England. [There were no deaths due to deterministic effects (i.e., people receiving a high dose of radiation, rapidly becoming ill, and dying); the 100–240 figure is an estimate of the number of people who died later in life due to cancer caused by radiation from the accident[31]]. |
| 95–4,000+[32][33] | 26 April 1986 | Chernobyl disaster. The official report is 31 immediate deaths, 64 recorded cancer deaths by 2008, and potentially up to, but no more than, 4,000 total cancer deaths.[34]Far-higher death toll estimates have been made, but these are disputed. | Pripyat, Ukrainian SSR, Soviet Union |
| 17 | August 2000– March 2001 | Instituto Oncológico Nacional, patients receiving treatment for cancer receive lethal doses of radiation.[35][36] | Panama City, Panama |
| 13 | 1996 | 1996 San Juan de Dios radiotherapy accident, 114 patients received an overdose of radiation.[37] | San José, Costa Rica |
| 11 | December 1990 | Clinic of Zaragoza radiotherapy accident, (27 patients were injured)[38] | Zaragoza, Spain |
| 10 | 10 August 1985 | Soviet submarine _K-431_ accident, (49 people suffered radiation injuries)[39] | near Vladivostok, Russia |
| 10 | 1974–1976 | Columbus radiotherapy accident, 88 injuries[36][40] | Columbus, Ohio, United States |

### Structural collapses

[edit]

Accidents with at least 100 deaths.

