Title: Life expectancy at birth. First year estimated, then projected in three alternatives to 2100

URL Source: https://www.ssb.no/270434/life-expectancy-at-birth.first-year-estimated-then-projected-in-three-alternatives-to-2100

Markdown Content:
Table - Life expectancy at birth. First year estimated, then projected in three alternatives to 2100

===============

Table
-----

Close table | Download table in Excel | Download as CSV-file

Life expectancy at birth. First year estimated, then projected in three alternatives to 2100 1|  | Medium life expectancy(M) | Low life expectancy (L) | High life expectancy (H) |
| --- | --- | --- | --- |
|  | Men | Women | Both sexes | Men | Women | Both sexes | Men | Women | Both sexes |
| 1 The life expectancy estimates are somewhat lower in the projections than in the genereal population statistics, as the projections estimate life expectancy based on age at the end of the year and not at time of death. Furthermore, the formula used to estimate death rates is also slightly different, as we employ an exponential model in the projections. |
| 2015 | 80.2 | 83.9 | 82.0 | 80.2 | 83.9 | 82.0 | 80.2 | 83.9 | 82.0 |
| 2016 | 80.3 | 84.0 | 82.3 | 79.9 | 83.6 | 81.9 | 80.8 | 84.4 | 82.6 |
| 2017 | 80.5 | 84.1 | 82.4 | 79.9 | 83.6 | 81.9 | 81.1 | 84.7 | 83.0 |
| 2018 | 80.7 | 84.3 | 82.6 | 79.9 | 83.6 | 81.9 | 81.4 | 84.9 | 83.2 |
| 2019 | 80.9 | 84.4 | 82.7 | 80.0 | 83.7 | 81.9 | 81.7 | 85.2 | 83.4 |
| 2020 | 81.1 | 84.6 | 82.9 | 80.0 | 83.7 | 82.0 | 82.0 | 85.4 | 83.8 |
| 2021 | 81.2 | 84.7 | 83.0 | 80.1 | 83.7 | 82.0 | 82.3 | 85.6 | 84.0 |
| 2022 | 81.4 | 84.8 | 83.2 | 80.1 | 83.8 | 82.1 | 82.6 | 85.9 | 84.2 |
| 2023 | 81.6 | 85.0 | 83.4 | 80.3 | 83.8 | 82.2 | 82.8 | 86.0 | 84.5 |
| 2024 | 81.7 | 85.1 | 83.5 | 80.3 | 83.8 | 82.2 | 83.1 | 86.2 | 84.7 |
| 2025 | 81.9 | 85.2 | 83.7 | 80.4 | 84.0 | 82.3 | 83.3 | 86.4 | 84.9 |
| 2026 | 82.1 | 85.4 | 83.8 | 80.4 | 84.0 | 82.3 | 83.6 | 86.6 | 85.2 |
| 2027 | 82.3 | 85.5 | 84.0 | 80.5 | 84.0 | 82.4 | 83.8 | 86.8 | 85.4 |
| 2028 | 82.4 | 85.6 | 84.1 | 80.7 | 84.1 | 82.5 | 84.0 | 87.1 | 85.5 |
| 2029 | 82.6 | 85.8 | 84.2 | 80.8 | 84.2 | 82.6 | 84.3 | 87.2 | 85.7 |
| 2030 | 82.8 | 85.9 | 84.4 | 80.8 | 84.2 | 82.7 | 84.5 | 87.4 | 86.0 |
| 2031 | 82.9 | 86.0 | 84.5 | 80.9 | 84.3 | 82.7 | 84.7 | 87.6 | 86.1 |
| 2032 | 83.1 | 86.1 | 84.7 | 81.0 | 84.3 | 82.9 | 85.0 | 87.8 | 86.3 |
| 2033 | 83.2 | 86.3 | 84.8 | 81.0 | 84.4 | 82.9 | 85.2 | 88.0 | 86.5 |
| 2034 | 83.4 | 86.4 | 85.0 | 81.1 | 84.4 | 82.9 | 85.4 | 88.1 | 86.7 |
| 2035 | 83.6 | 86.5 | 85.1 | 81.2 | 84.5 | 83.0 | 85.6 | 88.2 | 86.9 |
| 2036 | 83.7 | 86.6 | 85.2 | 81.3 | 84.6 | 83.1 | 85.9 | 88.4 | 87.1 |
| 2037 | 83.9 | 86.8 | 85.4 | 81.4 | 84.6 | 83.2 | 86.0 | 88.6 | 87.3 |
| 2038 | 84.0 | 86.9 | 85.5 | 81.5 | 84.7 | 83.3 | 86.3 | 88.8 | 87.5 |
| 2039 | 84.2 | 87.0 | 85.6 | 81.6 | 84.8 | 83.3 | 86.5 | 88.9 | 87.6 |
| 2040 | 84.4 | 87.1 | 85.8 | 81.7 | 84.9 | 83.4 | 86.7 | 89.2 | 87.8 |
| 2041 | 84.5 | 87.2 | 85.9 | 81.7 | 84.9 | 83.5 | 86.9 | 89.3 | 88.0 |
| 2042 | 84.7 | 87.3 | 86.0 | 81.9 | 84.9 | 83.5 | 87.1 | 89.4 | 88.1 |
| 2043 | 84.8 | 87.5 | 86.2 | 81.9 | 85.0 | 83.7 | 87.3 | 89.6 | 88.3 |
| 2044 | 85.0 | 87.6 | 86.3 | 82.0 | 85.1 | 83.8 | 87.4 | 89.7 | 88.5 |
| 2045 | 85.1 | 87.7 | 86.4 | 82.1 | 85.1 | 83.7 | 87.6 | 89.8 | 88.6 |
| 2046 | 85.3 | 87.8 | 86.5 | 82.2 | 85.2 | 83.8 | 87.9 | 90.1 | 88.8 |
| 2047 | 85.4 | 87.9 | 86.7 | 82.3 | 85.4 | 83.9 | 88.0 | 90.1 | 88.9 |
| 2048 | 85.5 | 88.0 | 86.8 | 82.4 | 85.3 | 84.2 | 88.3 | 90.3 | 89.1 |
| 2049 | 85.7 | 88.1 | 86.9 | 82.4 | 85.4 | 84.1 | 88.4 | 90.4 | 89.2 |
| 2050 | 85.8 | 88.2 | 87.0 | 82.5 | 85.4 | 84.2 | 88.6 | 90.6 | 89.4 |
| 2051 | 86.0 | 88.3 | 87.2 | 82.6 | 85.5 | 84.3 | 88.8 | 90.7 | 89.6 |
| 2052 | 86.1 | 88.4 | 87.3 | 82.7 | 85.6 | 84.3 | 88.9 | 90.9 | 89.7 |
| 2053 | 86.3 | 88.5 | 87.4 | 82.7 | 85.6 | 84.4 | 89.2 | 91.0 | 89.8 |
| 2054 | 86.4 | 88.6 | 87.5 | 82.9 | 85.7 | 84.6 | 89.3 | 91.2 | 90.0 |
| 2055 | 86.5 | 88.7 | 87.6 | 83.1 | 85.7 | 84.6 | 89.5 | 91.3 | 90.2 |
| 2056 | 86.7 | 88.8 | 87.7 | 83.1 | 85.8 | 84.6 | 89.7 | 91.4 | 90.3 |
| 2057 | 86.8 | 88.9 | 87.9 | 83.2 | 85.8 | 84.6 | 89.8 | 91.5 | 90.5 |
| 2058 | 86.9 | 89.0 | 88.0 | 83.1 | 85.9 | 84.6 | 90.0 | 91.6 | 90.6 |
| 2059 | 87.1 | 89.1 | 88.1 | 83.2 | 85.9 | 84.7 | 90.2 | 91.7 | 90.7 |
| 2060 | 87.2 | 89.2 | 88.2 | 83.3 | 86.0 | 84.8 | 90.3 | 91.9 | 90.7 |
| 2061 | 87.3 | 89.3 | 88.3 | 83.5 | 86.1 | 85.0 | 90.4 | 92.0 | 91.0 |
| 2062 | 87.5 | 89.4 | 88.4 | 83.6 | 86.2 | 85.0 | 90.6 | 92.1 | 91.1 |
| 2063 | 87.6 | 89.5 | 88.5 | 83.6 | 86.2 | 85.1 | 90.8 | 92.3 | 91.2 |
| 2064 | 87.7 | 89.6 | 88.6 | 83.7 | 86.2 | 85.3 | 90.9 | 92.3 | 91.4 |
| 2065 | 87.8 | 89.7 | 88.7 | 83.7 | 86.3 | 85.3 | 91.1 | 92.5 | 91.5 |
| 2066 | 88.0 | 89.8 | 88.9 | 83.8 | 86.3 | 85.3 | 91.2 | 92.6 | 91.5 |
| 2067 | 88.1 | 89.9 | 89.0 | 83.9 | 86.3 | 85.4 | 91.3 | 92.8 | 91.7 |
| 2068 | 88.2 | 90.0 | 89.1 | 84.1 | 86.5 | 85.4 | 91.6 | 92.9 | 91.9 |
| 2069 | 88.3 | 90.1 | 89.2 | 84.2 | 86.5 | 85.5 | 91.7 | 92.9 | 92.0 |
| 2070 | 88.5 | 90.2 | 89.3 | 84.1 | 86.6 | 85.5 | 91.8 | 93.0 | 92.1 |
| 2071 | 88.6 | 90.3 | 89.4 | 84.3 | 86.7 | 85.7 | 92.0 | 93.1 | 92.2 |
| 2072 | 88.7 | 90.3 | 89.5 | 84.3 | 86.7 | 85.7 | 92.1 | 93.3 | 92.4 |
| 2073 | 88.8 | 90.4 | 89.6 | 84.5 | 86.7 | 85.9 | 92.3 | 93.4 | 92.4 |
| 2074 | 88.9 | 90.5 | 89.7 | 84.5 | 86.7 | 85.8 | 92.3 | 93.4 | 92.5 |
| 2075 | 89.1 | 90.6 | 89.8 | 84.6 | 86.8 | 85.8 | 92.5 | 93.6 | 92.7 |
| 2076 | 89.2 | 90.7 | 89.9 | 84.7 | 86.9 | 85.9 | 92.6 | 93.6 | 92.7 |
| 2077 | 89.3 | 90.8 | 90.0 | 84.8 | 86.9 | 86.0 | 92.8 | 93.7 | 92.8 |
| 2078 | 89.4 | 90.9 | 90.1 | 84.8 | 87.0 | 86.2 | 92.9 | 93.8 | 93.0 |
| 2079 | 89.5 | 90.9 | 90.2 | 85.0 | 87.2 | 86.1 | 93.0 | 94.0 | 93.1 |
| 2080 | 89.6 | 91.0 | 90.2 | 84.9 | 87.1 | 86.2 | 93.1 | 94.1 | 93.2 |
| 2081 | 89.7 | 91.1 | 90.3 | 85.1 | 87.0 | 86.4 | 93.2 | 94.1 | 93.3 |
| 2082 | 89.8 | 91.2 | 90.4 | 85.0 | 87.2 | 86.3 | 93.3 | 94.2 | 93.4 |
| 2083 | 90.0 | 91.3 | 90.5 | 85.2 | 87.2 | 86.4 | 93.5 | 94.3 | 93.4 |
| 2084 | 90.1 | 91.3 | 90.6 | 85.3 | 87.3 | 86.4 | 93.6 | 94.5 | 93.6 |
| 2085 | 90.2 | 91.4 | 90.7 | 85.4 | 87.4 | 86.6 | 93.7 | 94.5 | 93.7 |
| 2086 | 90.3 | 91.5 | 90.8 | 85.3 | 87.3 | 86.7 | 93.9 | 94.6 | 93.8 |
| 2087 | 90.4 | 91.6 | 90.9 | 85.4 | 87.4 | 86.9 | 93.9 | 94.7 | 93.9 |
| 2088 | 90.5 | 91.7 | 91.0 | 85.6 | 87.4 | 86.8 | 94.0 | 94.8 | 94.0 |
| 2089 | 90.6 | 91.7 | 91.1 | 85.5 | 87.6 | 86.8 | 94.2 | 94.8 | 94.1 |
| 2090 | 90.7 | 91.8 | 91.1 | 85.8 | 87.7 | 86.9 | 94.3 | 95.0 | 94.2 |
| 2091 | 90.8 | 91.9 | 91.2 | 85.6 | 87.7 | 87.2 | 94.4 | 95.1 | 94.2 |
| 2092 | 90.9 | 91.9 | 91.3 | 85.8 | 87.6 | 87.1 | 94.4 | 95.1 | 94.3 |
| 2093 | 91.0 | 92.0 | 91.4 | 85.8 | 87.7 | 87.1 | 94.6 | 95.2 | 94.4 |
| 2094 | 91.1 | 92.1 | 91.5 | 85.9 | 87.7 | 87.0 | 94.7 | 95.3 | 94.5 |
| 2095 | 91.2 | 92.2 | 91.6 | 86.0 | 87.8 | 87.0 | 94.7 | 95.3 | 94.6 |
| 2096 | 91.3 | 92.2 | 91.6 | 86.1 | 87.8 | 87.2 | 94.9 | 95.5 | 94.7 |
| 2097 | 91.4 | 92.3 | 91.7 | 86.2 | 87.8 | 87.2 | 94.9 | 95.5 | 94.7 |
| 2098 | 91.5 | 92.4 | 91.8 | 86.2 | 87.8 | 87.5 | 95.1 | 95.6 | 94.8 |
| 2099 | 91.5 | 92.4 | 91.9 | 86.3 | 87.9 | 87.3 | 95.2 | 95.7 | 94.9 |
| 2100 | 91.6 | 92.5 | 92.0 | 86.3 | 88.0 | 87.4 | 95.2 | 95.7 | 95.0 |

Source: Statistics Norway

© Statistisk sentralbyrå
