Title: 2016 General Election Preference for President (Real Clear Politics Average)

URL Source: https://www.presidency.ucsb.edu/statistics/data/2016-general-election-preference-for-president-real-clear-politics-average

Markdown Content:
Publish Date Hillary Clinton (D)Donald Trump (R)
11/08/2016 46.8 43.6
11/07/2016 47.0 43.8
11/06/2016 46.6 44.8
11/05/2016 46.5 45.0
11/04/2016 46.4 44.8
11/03/2016 46.6 45.3
11/02/2016 47.0 45.3
11/01/2016 47.5 45.3
10/31/2016 48.0 44.9
10/30/2016 47.6 43.3
10/29/2016 47.1 42.5
10/28/2016 47.1 42.5
10/27/2016 47.8 42.2
10/26/2016 48.4 43.0
10/25/2016 48.3 43.2
10/24/2016 47.8 42.3
10/23/2016 47.9 42.0
10/22/2016 48.0 41.9
10/21/2016 48.1 41.9
10/20/2016 48.5 42.1
10/19/2016 48.6 42.1
10/18/2016 49.0 41.9
10/17/2016 48.8 41.8
10/16/2016 47.7 42.2
10/15/2016 48.1 41.4
10/14/2016 48.1 41.4
10/13/2016 48.1 41.4
10/12/2016 48.0 41.8
10/11/2016 47.9 41.9
10/10/2016 47.9 42.1
10/09/2016 47.5 42.9
10/08/2016 47.5 42.9
10/07/2016 47.6 42.9
10/06/2016 48.0 43.9
10/05/2016 48.1 44.2
10/04/2016 48.1 44.3
10/03/2016 47.8 44.6
10/02/2016 47.5 45.0
10/01/2016 47.4 44.7
09/30/2016 47.5 44.4
09/29/2016 47.4 44.4
09/28/2016 47.4 44.4
09/27/2016 46.7 44.3
09/26/2016 46.6 44.3
09/25/2016 46.5 43.4
09/24/2016 46.2 43.2
09/23/2016 46.2 43.2
09/22/2016 46.0 43.4
09/21/2016 45.4 43.5
09/20/2016 45.3 44.0
09/19/2016 44.9 44.0
09/18/2016 44.9 44.0
09/17/2016 44.9 43.9
09/16/2016 45.7 44.2
09/15/2016 45.7 44.2
09/14/2016 46.1 43.8
09/13/2016 45.8 43.4
09/12/2016 45.9 43.1
09/11/2016 46.0 42.9
09/10/2016 45.6 42.9
09/09/2016 45.6 42.9
09/08/2016 45.6 42.8
09/07/2016 45.9 42.8
09/06/2016 46.2 42.9
09/05/2016 45.9 42.3
09/04/2016 46.0 42.1
09/03/2016 46.0 42.1
09/02/2016 46.1 42.0
09/01/2016 46.8 41.9
08/31/2016 46.6 42.0
08/30/2016 46.7 41.7
08/29/2016 47.2 41.3
08/28/2016 48.3 42.3
08/27/2016 48.4 42.1
08/26/2016 48.3 42.3
08/25/2016 47.7 41.7
08/24/2016 47.2 41.8
08/23/2016 47.0 41.5
08/22/2016 47.0 41.5
08/21/2016 46.8 41.5
08/20/2016 47.0 41.3
08/19/2016 47.2 41.2
08/18/2016 47.0 41.2
08/17/2016 47.2 41.2
08/16/2016 47.7 41.0
08/15/2016 47.8 41.0
08/14/2016 47.8 41.0
08/13/2016 47.8 41.0
08/12/2016 47.5 41.2
08/11/2016 47.4 40.5
08/10/2016 48.0 40.3
08/09/2016 47.8 39.9
08/08/2016 47.3 40.1
08/07/2016 47.5 40.5
08/06/2016 47.3 40.4
08/05/2016 47.3 40.5
08/04/2016 47.4 40.6
08/03/2016 47.3 41.6
08/02/2016 46.4 42.0
08/01/2016 45.9 42.0
07/31/2016 44.5 43.4
07/30/2016 43.7 43.3
07/29/2016 44.3 44.3
07/28/2016 44.7 45.6
07/27/2016 44.6 45.7
07/26/2016 44.7 45.6
07/25/2016 44.1 44.3
07/24/2016 44.7 43.3
07/23/2016 44.6 42.6
07/22/2016 44.2 41.6
07/21/2016 44.0 41.3
07/20/2016 43.9 41.1
07/19/2016 43.8 41.1
07/18/2016 43.8 40.6
07/17/2016 43.8 40.6
07/16/2016 43.1 40.4
07/15/2016 43.1 40.4
07/14/2016 44.0 40.9
07/13/2016 45.0 40.7
07/12/2016 45.4 40.9
07/11/2016 45.4 40.9
07/10/2016 45.4 40.9
07/09/2016 45.6 40.9
07/08/2016 45.6 40.9
07/07/2016 45.6 40.9
07/06/2016 45.4 40.6
07/05/2016 44.9 40.3
07/04/2016 44.9 40.3
07/03/2016 44.8 40.3
07/02/2016 44.8 40.3
07/01/2016 44.6 39.8

* * *
