Title: 亞洲田徑紀錄列表

URL Source: https://zh.wikipedia.org/zh-cn/%E4%BA%9E%E6%B4%B2%E7%94%B0%E5%BE%91%E7%B4%80%E9%8C%84%E5%88%97%E8%A1%A8

Published Time: 2014-09-30T16:13:58Z

Markdown Content:
**亚洲田径纪录**是 亚洲田径总会 会员国运动员在各项目创下的最佳成绩。

**标示**： 等待承认 亚洲田径协会未纪录 亚洲田径协会不承认之纪录

ht = hand timing

+ = en route to a longer distance

A = affected by altitude

a = aided road course according to IAAF rule 260.28

# = not recognised by association

nw = no wind measurement

! = timing by photo-electric cell

刘翔 于奥林匹克运动会夺得金牌，曾于 110米跨栏 项目打破世界纪录，迄今仍为亚洲纪录保持者。

十项全能 纪录保持者 德米特里·卡尔波夫

| 项目 | 纪录 | 运动员 | 国籍 | 日期 | 赛事 | 地点 | 参考 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 100码 | 9.276 (-1.1 m/s) | 谢震业 | 中国 | 2019年6月20日 | Golden Spike Ostrava | 捷克 奥斯特拉瓦 |  |
| 100米 | 9.827（+0.9 m/s） | 苏炳添 | 中国 | 2021年8月1日 | 东京奥运会 | 日本 东京 | [1] |
| 150米 (bend) | 15.35（W：0.0） | 桐生祥秀 | 日本 | 2017年3月17日 |  | 澳大利亚 昆士兰州黄金海岸 |  |
| 200米 | 19.88 (+0.9 m/s) | 谢震业 | 中国 | 2019年7月21日 | 伦敦大奖赛（钻石联赛伦敦站） | 英国 英格兰伦敦 |  |
| 300米 | 32.25 | 藤光谦司 | 日本 | 2014年4月20日 |  | 日本 出云市 |  |
| 400米 | 43.93 | 优素福·马斯拉希 | 沙特阿拉伯 | 2015年8月23日 | 世界田径锦标赛 | 中国 北京市 | [2] |
| 600米 | 1:15.99 | Musaeb Abdulrahman Balla | 卡塔尔 | 2013年8月22日 | DN Galan | 瑞典 斯德哥尔摩 | [3] |
| 800米 | 1:42.79 | Yusuf Saad Kamel | 巴林 | 2008年7月29日 | Herculis | 摩纳哥 芳特维耶 |  |
| 1000米 | 2:14.72 | Yusuf Saad Kamel | 巴林 | 2008年7月22日 | DN Galan | 瑞典 斯德哥尔摩 |  |
| 1500米 | 3:29.14 | Rashid Ramzi | 巴林 | 2006年7月14日 | Golden Gala | 意大利 罗马 |  |
| 1英里 | 3:47.97 | Daham Najim Bashir | 卡塔尔 | 2005年7月29日 | Bislett Games | 挪威 奥斯陆 |  |
| 2000米 | 4:55.57 | Mohamed Suleiman | 卡塔尔 | 1995年6月8日 |  | 意大利 罗马 |  |
| 3000米 | 7:30.76 | Jamal Bilal Salem | 卡塔尔 | 2005年5月13日 | 卡达田径超级大奖赛 | 卡塔尔 多哈 |  |
| 5000米 | 12:51.96 | Albert Rop | 巴林 | 2013年7月19日 | Herculis | 摩纳哥 路易二世体育场 | [4] |
| 5公里（公路） | 13:49+ | Abraham Cheroben | 巴林 | 2016年9月18日 | Copenhagen Half Marathon | 丹麦 哥本哈根 |  |
| 10000米 | 26:38.76 | Abdullah Ahmad Hassan | 卡塔尔 | 2003年9月5日 | Memorial Van Damme | 比利时 布鲁塞尔 |  |
| 10公里（公路） | 27:57 | Abdullah Ahmad Hassan | 卡塔尔 | 2008年6月27日 |  | 英国 加的夫 |  |
| 15000米 （跑道） | 43:38.2 | 濑古利彦 | 日本 | 1983年9月24日 |  | 日本 静冈市 |  |
| 15公里（公路） | 42:36+ # | 佐藤敦之 | 日本 | 2007年10月14日 | 世界半程马拉松锦标赛 | 意大利 乌迪内 |  |
| 20000米 (跑道) | 57:48.7 | 濑古利彦 | 日本 | 1985年5月11日 |  | 日本 日本 小田原市 |  |
| 20公里（公路） | 57:24+ # | 佐藤敦之 | 日本 | 2007年10月14日 | 世界半程马拉松锦标赛 | 意大利 乌迪内 |  |
| 57:24+ | 菊地贤人 | 日本 | 2015年2月15日 | 第43回全日本实业团半马拉松大会 | 日本 山口市 | [5] |
| 一小时跑 | 20410 m | 栉部静二 | 日本 | 1996年10月20日 |  | 日本 东京都 | [6] |
