Title: AZ SOLO - Autocross - Sports Car Club of America

URL Source: https://www.azsolo.com/

Published Time: Thu, 16 Oct 2025 14:47:55 GMT

Markdown Content:
Click here to purchase you next set of tires through our affiliate program with TireRack and Discount Tire. A portion of your purchase will be be donated back to the Phoenix AZ Solo to continue to grow the sport of AutoCross in Phoenix.

AZ Solo Event Calendar
----------------------

| Date | Name | Organization | Venue | Location | Type |  |
| --- | --- | --- | --- | --- | --- | --- |
| Oct 19 | Fall 2025 Event 3 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo |  |
| Nov 15 | Firebird West Autocross on the Track | SCCA - Phoenix AZ Solo Region | Firebird West | Chandler, Arizona | Autocross/Solo | More Details |
| Dec 6 | Fall 2025 Event 4 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo | More Details |
| Jan 10 | Spring 2026 Event 1 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo | More Details |
| Jan 25 | Spring 2026 Event 2 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo | More Details |
| Feb 21 | Spring 2026 Event 3 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo | More Details |
| Apr 26 | Spring 2026 Event 4 PASR | SCCA - Phoenix AZ Solo Region | Phoenix Raceway | Avondale, AZ | Autocross/Solo | More Details |

Join the Sports Car Club of America today. Members of the SCCA qualify for discounted event entry fees.
