Title: Election Overview - FollowTheMoney.org

URL Source: https://www.followthemoney.org/tools/election-overview

Published Time: Wed, 08 May 2024 21:15:41 GMT

Markdown Content:
Election Summary
----------------

| Office Type | Races | Special | Candidates | Raised |
| --- | --- | --- | --- | --- |
| Appellate Court | 6 | 0 | 8 | $715,879 |
| Gubernatorial | 0 | 0 | 0 | $0 |
| Other Statewide | 5 | 0 | 12 | $947,352 |
| State House/Assembly | 0 | 4 | 23 | $1,425,767 |
| State Senate | 0 | 1 | 3 | $535,156 |
| State Supreme Court | 5 | 0 | 7 | $4,374,950 |
| US House | 0 | 0 | 0 | $0 |
| US Senate | 0 | 0 | 0 | $0 |

Committee Summary
-----------------

| Committee Type | # | Raised |
| --- | --- | --- |
| Party Committee | 4 | $704,394 |

### Candidates

*   Overview
*   Candidates
*   Contributors
*   Industries
*   Giving trends

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | LANDS, MARILYN | WON-GENERAL | WON | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 010 | OPEN | 4,502 | $591,386 |
|  | POWELL, TEDDY | LOST-GENERAL | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 010 | OPEN | 236 | $333,046 |

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | BRINYARK, BRYAN | WON-GENERAL | WON | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 498 | $660,059 |
|  | COX, BRAD | UNKNOWN-GENERAL | UNKNOWN | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 67 | $126,217 |
|  | FANIN, GREG | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 26 | $33,021 |
|  | UNDERWOOD, JOHN | LOST-GENERAL | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 322 | $20,596 |
|  | SIMPSON, MIKE | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 23 | $17,923 |
|  | RODGERS, FLOYD | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 0 | $0 |
|  | LOWERY, GREG | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 016 | OPEN | 0 | $0 |

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | ROSS, JEANA | DEFAULT WINNER-GENERAL | DEFAULT WINNER | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 125 | $176,495 |
|  | MILLER, ALAN | LOST-PRIMARY RUNOFF | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 79 | $37,259 |
|  | HANCOCK, BILL | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 27 | $26,362 |
|  | STRICKLEND, BILL | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 30 | $16,675 |
|  | TODD, BILLY | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 117 | $5,370 |
|  | GEORGE, STACY | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 027 | OPEN | 0 | $0 |

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | DATCHER, KELVIN | WON-GENERAL | WON | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 348 | $214,094 |
|  | WOODSON, FRANK | LOST-PRIMARY RUNOFF | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 67 | $60,417 |
|  | MAJOR, ERIC | LOST-PRIMARY | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 25 | $10,140 |
|  | CAMPBELL, DEDRA | LOST-PRIMARY | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 12 | $2,835 |
|  | PARKER, EYRIKA | LOST-PRIMARY | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 11 | $2,719 |
|  | BROWN JR, ERSKINE | LOST-GENERAL | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 1 | $2,513 |
|  | CRUM, CARLOS | WITHDREW-GENERAL | WITHDREW | REPUBLICAN | REPUBLICAN | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 1 | $1,193 |
|  | MILLHOUSE, LATANYA | LOST-PRIMARY | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | SPECIAL | HOUSE DISTRICT 052 | OPEN | 0 | $0 |

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | STEWART, SARAH | WON-GENERAL | WON | REPUBLICAN | REPUBLICAN | AL | 2024 | STANDARD | SUPREME COURT-CHIEF JUSTICE | CHALLENGER | 1,009 | $2,800,005 |
|  | TAYLOR, BRYAN | LOST-PRIMARY | LOST | REPUBLICAN | REPUBLICAN | AL | 2024 | STANDARD | SUPREME COURT-CHIEF JUSTICE | OPEN | 137 | $187,810 |
|  | GRIFFIN, GREG | LOST-GENERAL | LOST | DEMOCRATIC | DEMOCRATIC | AL | 2024 | STANDARD | SUPREME COURT-CHIEF JUSTICE | INCUMBENT | 12 | $5,380 |

|  | Candidate | Election Status | Status of Candidate | Specific Party | General Party | Election Jurisdiction | Election Year | Election Type | Office Sought | Incumbency Status | # of Records | Total $ |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
