Title: Daily newspaper endorsements in the 2016 United States presidential election

URL Source: https://en.wikipedia.org/wiki/Daily_newspaper_endorsements_in_the_2016_United_States_presidential_election

Published Time: 2019-01-17T22:18:15Z

Markdown Content:
From Wikipedia, the free encyclopedia

Various notable daily newspapers made endorsements of candidates in the 2016 United States presidential election, as follows. The table below indicates which candidate each publication endorsed in the 2012 United States presidential election and includes only endorsements for the general election.

### Summary of daily newspapers

[edit]

| Candidate | Endorsements | Breakdown by 2012 endorsement |
| --- | --- | --- |
| Hillary Clinton | 244 | 100 Barack Obama; 47 Mitt Romney; 19 no endorsement; 1 split endorsement; 76 undetermined |
| No endorsement | 65 | 38 Mitt Romney; 2 Barack Obama; 2 no endorsement; 11 undetermined |
| Donald Trump | 20 | 14 Mitt Romney; 6 undetermined |
| Gary Johnson | 9 | 2 Barack Obama; 5 Mitt Romney; 2 undetermined |
| Not Donald Trump | 8 | 2 Mitt Romney; 1 Barack Obama; 4 no endorsement; 1 undetermined |
| Split endorsement | 2 | 2 split endorsement |
| Evan McMullin | 1 | 1 undetermined |
| Not Hillary Clinton | 1 | 1 undetermined |

### Endorsements by daily newspapers

[edit]

| Newspaper | 2016 endorsement | Largest reported circulation | Endorsement date | City | State | 2012 endorsement | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- |
| _New York Daily News_[1][2] | Hillary Clinton | 312,736[3] | July 28 | New York City | New York | Mitt Romney[4] | [a] |
| _Houston Chronicle_[8] | Hillary Clinton | 925,085[9] | July 29 | Houston | Texas | Mitt Romney[10] | [b] |
| _San Francisco Chronicle_[12] | Hillary Clinton | 277,909[13] | August 5 | San Francisco | California | Barack Obama[14] |  |
| _Tulsa World_[15] | No endorsement | 95,063[16] | August 8 | Tulsa | Oklahoma | Mitt Romney[17] | [c] |
| _The Caledonian-Record_[18] | Gary Johnson | 10,204[19] | August 9 | St. Johnsbury | Vermont |  |  |
| _The Press Democrat_[20] | Hillary Clinton | 50,669[16] | August 21 | Santa Rosa | California | No endorsement[21] |  |
| _Richmond Times-Dispatch_[22] | Gary Johnson | 109,345[23] | September 3 | Richmond | Virginia | Mitt Romney[24] | [d] |
| _The Berkshire Eagle_[26] | Hillary Clinton | 32,612[27] | September 3 | Pittsfield | Massachusetts | Barack Obama[28] |  |
| _The Dallas Morning News_[29] | Hillary Clinton | 707,792[9] | September 6 | Dallas | Texas | Mitt Romney[30] | [e] |
| _Daily Camera_[33] | Hillary Clinton | 19,459[34] | September 10 | Boulder | Colorado | Barack Obama[35] |  |
