Title: Texas Presidential Race Results: Donald J. Trump Wins

URL Source: https://www.nytimes.com/elections/2016/results/texas-president-clinton-trump

Published Time: Tue, 03 Nov 2020 02:06:40 GMT

Markdown Content:
Aug. 1, 2017, 11:27 AM ET

| Candidate | Party | Votes | Pct. |  | E.V. |
| --- | --- | --- | --- | --- | --- |
|  | Trump Donald J. Trump | Republican Rep. | 4,685,047 | 52.2% |  | 38 |
|  | Clinton Hillary Clinton | Democrat Dem. | 3,877,868 | 43.2% |  | — |
|  | Johnson Gary Johnson | Libertarian Lib. | 283,492 | 3.2% |  | — |
|  | Stein Jill Stein | Green Green | 71,558 | 0.8% |  | — |
|  | Others Others | Independent Ind. | 51,261 | 0.6% |  | — |

8,969,226 votes,  100% reporting  (8,186 of 8,186 precincts)

President Map »

Donald J. Trump has won Texas’s 38 electoral votes. Trump has 807,179 more votes than Hillary Clinton, with 100 percent reporting. Donald J. Trump is up by 9 points with all precincts reporting.

Below are detailed results for the race. View other Texas election results on our full Texas results page. See all states on our presidential map.

| Vote by county | Trump | Clinton |
| --- | --- | --- |
| Harris | 545,955 | 707,914 |
| Dallas | 262,945 | 461,080 |
| Tarrant | 345,921 | 288,392 |
| Bexar | 240,333 | 319,550 |
| Travis | 127,209 | 308,260 |
| Collin | 201,014 | 140,624 |
| Denton | 170,603 | 110,890 |
| Fort Bend | 117,291 | 134,686 |
| El Paso | 55,512 | 147,843 |
| Montgomery | 150,314 | 45,835 |
| Williamson | 104,175 | 84,468 |
| Hidalgo | 48,642 | 118,809 |
| Galveston | 73,757 | 43,658 |
| Brazoria | 72,791 | 43,200 |
| Nueces | 50,766 | 49,198 |
| Lubbock | 65,651 | 28,023 |
| Bell | 51,998 | 37,801 |
| Cameron | 29,472 | 59,402 |
| Jefferson | 42,862 | 42,443 |
| Smith | 58,930 | 22,300 |
| McLennan | 48,260 | 27,063 |
| Hays | 33,826 | 33,224 |
| Brazos | 38,738 | 23,121 |
| Ellis | 44,941 | 16,253 |
| Comal | 45,136 | 14,238 |
| Guadalupe | 36,632 | 18,391 |
| Johnson | 44,382 | 10,988 |
| Webb | 12,947 | 42,307 |
| Parker | 46,473 | 8,344 |
| Randall | 43,462 | 8,367 |
| Midland | 36,973 | 10,025 |
| Grayson | 35,325 | 10,301 |
| Taylor | 33,250 | 10,085 |
| Gregg | 28,764 | 11,677 |
| Kaufman | 29,587 | 10,278 |
| Rockwall | 28,451 | 9,655 |
| Tom Green | 27,494 | 9,173 |
| Wichita | 27,631 | 8,770 |
| Ector | 25,020 | 10,249 |
| Bowie | 24,924 | 8,838 |
| Orange | 25,513 | 5,735 |
| Hunt | 23,910 | 6,396 |
| Victoria | 21,275 | 8,866 |
| Henderson | 23,650 | 5,669 |
| Angelina | 21,668 | 7,538 |
| Potter | 19,630 | 7,657 |
| Bastrop | 16,328 | 10,569 |
| Harrison | 18,749 | 7,151 |
| Hood | 21,382 | 4,008 |
| Wise | 20,670 | 3,412 |
| Liberty | 18,892 | 4,862 |
| Kerr | 17,727 | 4,681 |
| Hardin | 19,606 | 2,780 |
| Nacogdoches | 14,771 | 6,846 |
| Van Zandt | 18,473 | 2,799 |
| San Patricio | 13,030 | 7,871 |
| Kendall | 15,700 | 3,643 |
| Polk | 15,176 | 4,187 |
| Walker | 12,884 | 6,091 |
| Wilson | 13,998 | 4,790 |
| Burnet | 14,638 | 3,797 |
| Rusk | 14,675 | 3,935 |
| Wood | 15,700 | 2,630 |
| Lamar | 14,561 | 3,583 |
| Coryell | 12,225 | 5,064 |
| Medina | 12,085 | 4,634 |
| Anderson | 13,201 | 3,369 |
| Cherokee | 12,919 | 3,469 |
| Chambers | 13,339 | 2,948 |
