Title: Legislative Partisan Splits

URL Source: https://www.stateside.com/state-resource/legislative-partisan-splits

Markdown Content:
**QUICK HITS**

Republican Controlled Chambers | House/Assembly: 29 | Senate: 30

Democratic Controlled Chambers | House/Assembly: 19 | Senate: 19

Multi-partisan Coalition Controlled Chambers | Alaska House and Alaska Senate

Updated: 10/7/2025| State | Chamber | Party Control | Democrat | Republican | Independent | Other | Vacant | Total Seats |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Alabama | House | R | 29 | 71 |  |  | 5 | 105 |
| Alabama | Senate | R | 8 | 27 |  |  |  | 35 |
| Alaska | House | R * | 14 | 21 | 1 | 4 |  | 40 |
| Alaska | Senate | R * | 9 | 11 |  |  |  | 20 |
| Arizona | House | R | 27 | 33 |  |  |  | 60 |
| Arizona | Senate | R | 13 | 17 |  |  |  | 30 |
| Arkansas | House | R | 19 | 81 |  |  |  | 100 |
| Arkansas | Senate | R | 6 | 29 |  |  |  | 35 |
| California | Assembly | D | 60 | 20 |  |  |  | 80 |
| California | Senate | D | 30 | 10 |  |  |  | 40 |
| Colorado | House | D | 43 | 22 |  |  |  | 65 |
| Colorado | Senate | D | 23 | 12 |  |  |  | 35 |
| Connecticut | House | D | 102 | 49 |  |  |  | 151 |
| Connecticut | Senate | D | 25 | 11 |  |  |  | 36 |
| Delaware | House | D | 27 | 14 |  |  |  | 41 |
| Delaware | Senate | D | 15 | 6 |  |  |  | 21 |
| Florida | House | R | 32 | 86 |  |  | 2 | 120 |
| Florida | Senate | R | 11 | 26 | 1 |  | 2 | 40 |
| Georgia | House | R | 80 | 99 |  |  | 1 | 180 |
| Georgia | Senate | R | 23 | 32 |  |  | 1 | 56 |
| Hawaii | House | D | 42 | 9 |  |  |  | 51 |
| Hawaii | Senate | D | 22 | 3 |  |  |  | 25 |
| Idaho | House | R | 9 | 61 |  |  |  | 70 |
| Idaho | Senate | R | 6 | 29 |  |  |  | 35 |
| Illinois | House | D | 78 | 40 |  |  |  | 118 |
| Illinois | Senate | D | 40 | 19 |  |  |  | 59 |
| Indiana | House | R | 30 | 70 |  |  |  | 100 |
| Indiana | Senate | R | 10 | 40 |  |  |  | 50 |
| Iowa | House | R | 33 | 67 |  |  |  | 100 |
| Iowa | Senate | R | 16 | 33 |  |  | 1 | 50 |
| Kansas | House | R | 37 | 88 |  |  |  | 125 |
| Kansas | Senate | R | 9 | 31 |  |  |  | 40 |
| Kentucky | House | R | 20 | 80 |  |  |  | 100 |
| Kentucky | Senate | R | 6 | 32 |  |  |  | 38 |
| Louisiana | House | R | 32 | 73 |  |  |  | 105 |
| Louisiana | Senate | R | 11 | 28 |  |  |  | 39 |
| Maine | House | D | 76 | 73 | 1 | 1 |  | 151 |
| Maine | Senate | D | 20 | 15 |  |  |  | 35 |
| Maryland | House | D | 102 | 39 |  |  |  | 141 |
| Maryland | Senate | D | 34 | 13 |  |  |  | 47 |
| Massachusetts | House | D | 134 | 25 |  | 1 |  | 160 |
| Massachusetts | Senate | D | 35 | 5 |  |  |  | 40 |
| Michigan | House | R | 52 | 58 |  |  |  | 110 |
| Michigan | Senate | D | 19 | 18 |  |  | 1 | 38 |
| Minnesota | House | R | 66 | 67 |  |  | 1 | 134 |
| Minnesota | Senate | D | 33 | 32 |  |  | 2 | 67 |
| Mississippi | House | R | 39 | 79 | 3 |  | 1 | 122 |
| Mississippi | Senate | R | 14 | 36 |  |  | 2 | 52 |
| Missouri | House | R | 52 | 108 |  |  | 3 | 163 |
| Missouri | Senate | R | 10 | 24 |  |  |  | 34 |
| Montana | House | R | 42 | 58 |  |  |  | 100 |
