Title: 

URL Source: https://elections.sos.state.tx.us/elchist319_race62.htm

Published Time: Mon, 12 Dec 2016 21:26:29 GMT

Markdown Content:
Office of the Secretary of State



2016 General Election
11/8/2016
President/Vice-President
...	Donald J. Trump /	Hillary Clinton /	Gary Johnson /	Jill Stein /	Tony Valdivia /	Emidio Soltysik /	Laurence Kotlikoff /	Jonathan Lee /	Michael A. Maturen /	Monica Moorehead /	Scott Cubbler /	Evan McMullin /	Dale Steffes /	Cherunda Fox /	Darrell L. Castle /	Tom Hoefling /	Robert Morrow /	...	...	...
...	Mike Pence	Tim Kaine	William Weld	Ajamu Baraka	Aaron Barriere	Angela Walker	Edward Leamer	Jeffrey Erskine	Juan A. Munoz	Lamont Lilly	Michael Rodriguez	Nathan Johnson	Paul E. Case	Roger Kushner	Scott N. Bradley	Steve Schulin	Todd Sanders	Total	Total	...
County	REP	DEM	LIB	GRN	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	W-I	Votes	Voters	TurnOut
ALL COUNTIES	4,685,047	3,877,868	283,492	71,558	428	72	1,037	67	1,401	122	314	42,366	71	45	4,261	932	145	8,969,226	15,101,087	59.39%
ANDERSON	13,201	3,369	308	57	0	0	0	0	2	0	0	31	0	0	9	0	0	16,977	28,111	60.39%
ANDREWS	3,927	836	147	18	0	0	0	0	0	0	0	13	0	0	2	0	0	4,943	9,130	54.14%
ANGELINA	21,668	7,538	560	106	0	0	0	0	0	3	0	29	0	0	7	0	0	29,911	51,610	57.96%
ARANSAS	7,740	2,465	238	41	0	0	3	0	0	0	0	18	0	0	1	6	0	10,512	17,263	60.89%
ARCHER	3,786	394	80	10	0	0	0	0	2	0	0	8	0	0	3	0	0	4,283	6,314	67.83%
ARMSTRONG	924	70	18	5	0	0	0	0	0	0	0	3	0	1	0	0	0	1,021	1,391	73.40%
ATASCOSA	8,618	4,651	308	65	0	0	0	0	0	0	1	24	0	0	6	0	0	13,673	26,488	51.62%
AUSTIN	9,637	2,320	248	51	0	0	0	0	0	0	0	13	0	0	5	0	0	12,274	19,263	63.72%
BAILEY	1,344	397	39	5	2	0	0	0	1	0	0	4	1	0	0	0	0	1,793	3,714	48.28%
BANDERA	8,163	1,726	262	66	0	0	0	0	0	0	0	0	0	0	1	0	0	10,218	15,524	65.82%
BASTROP	16,328	10,569	1,063	320	2	0	6	0	2	3	3	131	0	1	21	4	1	28,454	45,137	63.04%
BAYLOR	1,267	191	31	3	0	0	0	0	0	0	0	5	0	0	2	0	0	1,499	2,433	61.61%
BEE	4,744	3,444	238	34	2	0	0	0	2	0	0	20	0	0	0	0	1	8,485	15,709	54.01%
BELL	51,998	37,801	3,824	812	2	2	7	1	17	8	6	441	0	2	52	18	3	94,994	186,533	50.93%
BEXAR	240,333	319,550	20,091	6,645	15	2	27	0	47	6	23	2,646	3	1	206	45	5	589,645	1,045,357	56.41%
BLANCO	4,212	1,244	180	33	0	1	0	0	0	0	0	12	0	0	2	1	0	5,685	8,033	70.77%
BORDEN	330	31	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	365	463	78.83%
BOSQUE	6,339	1,278	155	40	0	0	2	0	0	1	0	14	0	0	9	0	0	7,838	12,002	65.31%
BOWIE	24,924	8,838	582	145	3	0	1	0	1	0	0	79	0	0	19	10	0	34,602	59,083	58.57%
BRAZORIA	72,791	43,200	3,768	806	0	1	6	2	9	2	3	504	0	0	70	17	2	121,181	196,507	61.67%
BRAZOS	38,738	23,121	3,813	536	2	1	10	1	60	0	5	843	0	1	73	7	0	67,211	106,804	62.93%
BREWSTER	2,077	1,873	210	77	0	0	0	0	1	0	0	14	0	0	0	0	0	4,252	7,369	57.70%
BRISCOE	625	91	14	4	0	0	0	0	0	0	0	2	0	0	0	0	0	736	1,096	67.15%
BROOKS	613	1,937	32	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2,596	6,428	40.39%
BROWN	12,017	1,621	253	65	0	0	0	0	0	0	0	60	0	0	9	1	0	14,026	23,424	59.88%
BURLESON	5,316	1,491	118	20	0	0	2	0	0	0	0	10	0	0	2	1	0	6,960	11,637	59.81%
BURNET	14,638	3,797	564	104	0	0	4	0	0	0	1	68	0	0	10	18	0	19,204	29,587	64.91%
CALDWELL	6,691	4,795	446	105	0	0	4	0	5	0	1	33	0	0	7	5	0	12,092	22,560	53.60%
CALHOUN	4,638	2,118	168	33	0	0	0	0	0	0	0	6	0	0	2	0	0	6,965	12,863	54.15%
CALLAHAN	4,865	569	107	23	0	0	0	0	0	0	0	13	0	0	2	0	0	5,579	9,192	60.69%
CAMERON	29,472	59,402	2,236	822	2	0	1	3	5	1	3	103	2	0	22	5	0	92,079	197,726	46.57%
CAMP	3,201	1,260	66	15	0	0	0	0	0	0	0	0	0	0	0	0	0	4,542	7,582	59.91%
CARSON	2,620	249	68	11	0	0	0	0	0	0	0	13	0	0	3	0	0	2,964	4,317	68.66%
CASS	9,726	2,391	145	34	0	0	0	0	0	0	0	38	0	0	8	2	0	12,344	20,040	61.60%
CASTRO	1,414	526	47	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1,997	3,959	50.44%
CHAMBERS	13,339	2,948	385	59	0	0	0	0	1	0	0	45	0	0	3	5	1	16,786	26,930	62.33%
CHEROKEE	12,919	3,469	305	34	21	0	0	2	1	0	3	26	0	0	7	2	1	16,790	27,788	60.42%
CHILDRESS	1,802	253	24	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2,084	3,564	58.47%
CLAY	4,377	536	87	12	0	0	0	0	0	0	0	5	0	0	0	1	0	5,018	7,656	65.54%
COCHRAN	679	190	29	3	0	0	0	0	0	0	0	0	0	0	0	0	0	901	1,777	50.70%
COKE	1,265	140	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1,423	2,192	64.92%
COLEMAN	3,177	388	53	18	0	0	0	0	0	1	0	4	0	0	2	0	0	3,643	5,942	61.31%
COLLIN	201,014	140,624	13,855	2,539	3	0	89	0	77	2	9	2,940	0	1	221	42	3	361,419	537,358	67.26%
COLLINGSWORTH	983	145	22	4	0	0	0	0	0	0	0	2	0	0	0	0	0	1,156	1,901	60.81%
COLORADO	6,325	1,987	144	37	0	0	0	0	1	0	0	18	0	0	1	0	0	8,513	13,871	61.37%
COMAL	45,136	14,238	2,068	343	0	1	11	0	8	1	1	312	0	0	49	9	1	62,178	92,403	67.29%
COMANCHE	4,333	789	88	21	0	0	1	0	0	0	0	0	0	0	5	0	0	5,237	8,911	58.77%
CONCHO	885	148	27	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1,068	1,662	64.26%
COOKE	13,181	2,352	317	60	0	0	2	0	1	0	0	32	0	0	9	1	0	15,955	25,086	63.60%
CORYELL	12,225	5,064	704	161	0	0	1	0	0	0	2	81	1	0	14	0	0	18,253	37,644	48.49%
COTTLE	506	92	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	612	1,072	57.09%
CRANE	1,049	299	28	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1,384	2,679	51.66%
CROCKETT	980	372	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1,395	2,553	54.64%
CROSBY	1,181	468	60	5	0	0	0	0	2	0	0	8	0	0	4	0	0	1,728	3,604	47.95%
CULBERSON	280	454	23	6	0	0	0	0	0	0	0	2	0	0	0	2	0	767	1,762	43.53%
DALLAM	1,261	222	46	9	0	0	0	0	0	0	0	6	0	0	0	0	0	1,544	3,151	49.00%
DALLAS	262,945	461,080	24,025	6,114	8	3	190	6	155	6	17	4,117	3	1	235	64	4	758,973	1,287,082	58.97%
DAWSON	2,636	835	80	11	0	0	0	0	0	0	0	0	0	1	0	0	0	3,563	7,343	48.52%
DEAF SMITH	2,911	1,185	91	14	3	0	0	0	0	0	0	12	0	0	0	0	0	4,216	8,669	48.63%
DELTA	1,836	400	36	7	0	0	0	0	1	0	0	1	0	0	0	0	0	2,281	3,845	59.32%
DENTON	170,603	110,890	11,583	2,660	4	2	61	2	71	3	7	2,510	0	0	191	56	2	298,645	464,790	64.25%
DEWITT	5,519	1,163	124	27	0	0	0	0	0	0	0	10	0	0	1	0	0	6,844	11,856	57.73%
DICKENS	755	128	23	3	0	0	0	0	0	0	0	0	0	0	0	0	0	909	1,330	68.35%
DIMMIT	974	2,173	57	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3,225	7,440	43.35%
DONLEY	1,225	191	40	5	0	0	0	0	0	0	0	4	0	0	0	0	0	1,465	2,312	63.37%
DUVAL	1,316	2,783	49	19	0	0	0	0	0	0	0	0	0	0	1	0	0	4,168	8,357	49.87%
EASTLAND	6,011	776	120	31	0	0	0	0	2	0	0	1	0	0	22	0	0	6,963	11,683	59.60%
ECTOR	25,020	10,249	1,009	167	1	0	0	0	0	1	1	74	0	0	8	0	0	36,530	73,142	49.94%
EDWARDS	746	303	17	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1,073	1,514	70.87%
ELLIS	44,941	16,253	1,747	325	0	0	11	0	4	2	3	324	0	0	53	8	2	63,673	102,235	62.28%
EL PASO	55,512	147,843	7,607	2,945	3	2	3	5	25	2	1	8	2	1	43	3	3	214,008	428,319	49.96%
ERATH	11,210	2,160	378	68	0	1	0	0	2	0	0	59	0	2	12	0	1	13,893	21,537	64.51%
FALLS	3,441	1,684	90	23	0	0	0	0	1	0	0	9	0	0	0	0	0	5,248	10,135	51.78%
FANNIN	9,548	2,132	269	46	0	0	0	0	1	0	0	31	0	0	17	0	0	12,044	20,565	58.57%
FAYETTE	8,743	2,144	209	45	1	0	1	0	0	0	0	24	0	0	7	0	0	11,174	16,279	68.64%
FISHER	1,265	403	44	10	0	0	0	0	0	0	0	5	0	0	2	0	0	1,729	2,769	62.44%
FLOYD	1,474	435	47	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1,959	4,068	48.16%
FOARD	383	113	14	1	0	0	0	0	2	0	0	0	0	0	0	0	0	513	948	54.11%
FORT BEND	117,291	134,686	6,907	1,783	2	0	22	0	37	3	0	1,206	2	0	111	16	0	262,066	404,035	64.86%
FRANKLIN	3,585	665	96	12	0	0	2	0	1	0	0	11	0	0	8	0	0	4,380	6,798	64.43%
